run_date,hotel_key,check_date,price
2026-07-05,kai_yufuin,2026-07-07,95700
2026-07-05,kai_yufuin,2026-07-08,95700
2026-07-05,kai_yufuin,2026-07-09,95700
2026-07-05,kai_yufuin,2026-07-10,95700
2026-07-05,kai_yufuin,2026-07-11,108900
2026-07-05,kai_yufuin,2026-07-12,95700
2026-07-05,kai_yufuin,2026-07-13,95700
2026-07-05,kai_yufuin,2026-07-14,95700
2026-07-05,kai_yufuin,2026-07-15,95700
2026-07-05,kai_yufuin,2026-07-16,95700
2026-07-05,kai_yufuin,2026-07-17,95700
2026-07-05,kai_yufuin,2026-07-18,115500
2026-07-05,kai_yufuin,2026-07-20,95700
2026-07-05,kai_yufuin,2026-07-21,95700
2026-07-05,kai_yufuin,2026-07-22,95700
2026-07-05,kai_yufuin,2026-07-23,95700
2026-07-05,kai_yufuin,2026-07-24,95700
2026-07-05,kai_yufuin,2026-07-25,108900
2026-07-05,kai_yufuin,2026-07-26,95700
2026-07-05,kai_yufuin,2026-07-27,95700
2026-07-05,kai_yufuin,2026-07-28,95700
2026-07-05,kai_yufuin,2026-07-29,95700
2026-07-05,kai_yufuin,2026-07-30,95700
2026-07-05,kai_yufuin,2026-07-31,95700
2026-07-05,kai_yufuin,2026-08-01,108900
2026-07-05,kai_yufuin,2026-08-02,95700
2026-07-05,kai_yufuin,2026-08-03,95700
2026-07-05,kai_yufuin,2026-08-04,95700
2026-07-05,kai_yufuin,2026-08-05,95700
2026-07-05,kai_yufuin,2026-08-06,95700
2026-07-05,kai_yufuin,2026-08-07,95700
2026-07-05,kai_yufuin,2026-08-08,115500
2026-07-05,kai_yufuin,2026-08-09,115500
2026-07-05,kai_yufuin,2026-08-10,115500
2026-07-05,kai_yufuin,2026-08-11,115500
2026-07-05,kai_yufuin,2026-08-12,115500
2026-07-05,kai_yufuin,2026-08-13,115500
2026-07-05,kai_yufuin,2026-08-14,115500
2026-07-05,kai_yufuin,2026-08-15,115500
2026-07-05,kai_yufuin,2026-08-16,95700
2026-07-05,kai_yufuin,2026-08-17,95700
2026-07-05,kai_yufuin,2026-08-18,95700
2026-07-05,kai_yufuin,2026-08-19,95700
2026-07-05,kai_yufuin,2026-08-20,95700
2026-07-05,kai_yufuin,2026-08-21,95700
2026-07-05,kai_yufuin,2026-08-22,108900
2026-07-05,kai_yufuin,2026-08-23,95700
2026-07-05,kai_yufuin,2026-08-24,95700
2026-07-05,kai_yufuin,2026-08-25,95700
2026-07-05,kai_yufuin,2026-08-26,95700
2026-07-05,kai_yufuin,2026-08-27,95700
2026-07-05,kai_yufuin,2026-08-28,95700
2026-07-05,kai_yufuin,2026-08-29,108900
2026-07-05,kai_yufuin,2026-08-30,95700
2026-07-05,kai_yufuin,2026-08-31,95700
2026-07-05,kai_yufuin,2026-09-01,95700
2026-07-05,kai_yufuin,2026-09-02,95700
2026-07-05,kai_yufuin,2026-09-03,95700
2026-07-05,kai_yufuin,2026-09-04,95700
2026-07-05,kai_yufuin,2026-09-05,108900
2026-07-05,kai_yufuin,2026-09-06,95700
2026-07-05,kai_yufuin,2026-09-08,95700
2026-07-05,kai_yufuin,2026-09-09,95700
2026-07-05,kai_yufuin,2026-09-10,95700
2026-07-05,kai_yufuin,2026-09-11,95700
2026-07-05,kai_yufuin,2026-09-12,108900
2026-07-05,kai_yufuin,2026-09-13,95700
2026-07-05,kai_yufuin,2026-09-14,95700
2026-07-05,kai_yufuin,2026-09-15,95700
2026-07-05,kai_yufuin,2026-09-16,95700
2026-07-05,kai_yufuin,2026-09-17,95700
2026-07-05,kai_yufuin,2026-09-18,95700
2026-07-05,kai_yufuin,2026-09-19,115500
2026-07-05,kai_yufuin,2026-09-20,115500
2026-07-05,kai_yufuin,2026-09-21,115500
2026-07-05,kai_yufuin,2026-09-22,115500
2026-07-05,kai_yufuin,2026-09-23,102300
2026-07-05,kai_yufuin,2026-09-24,102300
2026-07-05,kai_yufuin,2026-09-25,108900
2026-07-05,kai_yufuin,2026-09-26,108900
2026-07-05,kai_yufuin,2026-09-27,102300
2026-07-05,kai_yufuin,2026-09-28,102300
2026-07-05,kai_yufuin,2026-09-29,102300
2026-07-05,kai_yufuin,2026-09-30,102300
2026-07-05,kai_yufuin,2026-10-01,108900
2026-07-05,kai_yufuin,2026-10-02,108900
2026-07-05,kai_yufuin,2026-10-03,115500
2026-07-05,kai_yufuin,2026-10-04,108900
